Word	Frequency	Diversity	Clusters	Density	Synsets	WikiFreq
plug	6	0.1329189196650777	3	0.6899065532485844	13	302
man	315	0.2578381213552228	41	0.40493002965642694	13	1715
wordsworth	6	0.14208879516063375	3	0.7047054413059766	1	5620
periodically	3	0.2490159477316797	2	0.6900140362728919	1	629
democratic	33	0.26283822249791056	7	0.46445401084101	3	383961
lout	7	0.22791074447500645	4	0.5468662802240893	1	110
farm	35	0.23450061279320386	8	0.4275995796256384	4	118
enter	68	0.28536911225159783	18	0.3592239691780167	9	686
grape	3	0.14693174976203205	2	0.6697441136583597	3	30
while	241	0.31244893857775174	36	0.38933127257610534	1	239
guide	34	0.28438239633295204	5	0.4123448868489828	11	26436
fundamentalist	5	0.131362693893466	3	0.7143759046726248	2	1019
soap	3	0.18601520142342307	2	0.4854373507128515	4	322
scenario	5	0.2043883277425503	2	0.464169987671808	3	3180
electronics	8	0.2307018652123838	3	0.47785608429070114	1	41
stay	46	0.24209576393346666	11	0.33819835831109124	16	3121
hangar	3	0.15900253309694368	2	0.6683532987233282	1	2663
delicate	14	0.24799582245601776	3	0.46223634743215003	7	35
recharge	3	0.15246700545653544	2	0.5756628379799698	2	434
enthusiastically	6	0.1552417651306019	3	0.6224621422702509	2	4273
beerbohm	3	0.06715159047452368	2	0.7018149875382278	1	1135
hence	20	0.2690521779073068	5	0.5257690932047769	3	21287
aggression	11	0.17815583258086162	3	0.4168958966917477	5	15489
writing	10	0.20142631497763963	3	0.5047369464296269	15	5966
clever	11	0.2555104796615786	5	0.37763972307756827	3	2047
permanent	20	0.35199592081599085	5	0.41113607945874586	3	26320
fabric	9	0.19183927454565186	5	0.4981329890724495	2	28262
revenue	12	0.16234055589688698	4	0.553491987643627	2	70
enforcement	5	0.12063225453639112	3	0.5944913384263517	1	14623
reduce	87	0.3022678013549253	17	0.4513702479411512	20	306
orange	26	0.2809154619138017	5	0.45213952970815313	6	188
operative	7	0.2569617999681596	4	0.5977625651755083	6	2147
